Try	Win/lost	Score	
1	lost	-145	0.2
2	lost	-31	
3	win	1290	
4	lost	25	
5	lost	-423	
6	win	1324	
7	lost	-356	
8	lost	-275	
9	lost	-323	
10	lost	-412	
11	win	1280	0.4
12	lost	218	
13	win	1281	
14	lost	-76	
15	lost	-344	
16	lost	-343	
17	lost	125	
18	lost	245	
19	win	1461	
20	win	1286	
21	lost	-301	0.3
22	win	1473	
23	win	1253	
24	lost	178	
25	lost	-240	
26	lost	-162	
27	lost	-298	
28	lost	-343	
29	lost	442	
30	win	1450	
31	win	1280	0.6
32	win	1473	
33	lost	-16	
34	win	1499	
35	win	1299	
36	lost	-31	
37	lost	-307	
38	win	1684	
39	win	1265	
40	lost	-328	
41	lost	-387	0
42	lost	-318	
43	lost		
44	lost		
45	lost		
46	lost		
47	lost		
48	lost		
49	lost		
50	lost		
51	lost		0.2
52	win		
53	lost		
54	lost		
55	lost		
56	lost		
57	win		
58	lost		
59	lost		
60	lost		
61	win		0.3
62	lost		
63	lost		
64	lost		
65	win		
66	lost		
67	lost		
68	lost		
69	win		
70	lost		
71	lost		0.3
72	win		
73	lost		
74	lost		
75	lost		
76	lost		
77	lost		
78	win		
79	lost		
80	win		
81	lost		0.4
82	lost		
83	win		
84	win		
85	win		
86	lost		
87	lost		
88	win		
89	lost		
90	lost		
91	lost		0.2
92	lost		
93	lost		
94	lost		
95	lost		
96	lost		
97	win		
98	win	1687	
99	lost	-208	
100	lost	-187	
101	lost	-282	0.1
102	lost	306	
103	lost		
104	lost		
105	lost		
106	win		
107	lost		
108	lost		
109	lost		
110	lost		
111	lost		0.1
112	lost		
113	lost		
114	lost		
115	lost		
116	lost		
117	lost		
118	lost		
119	lost		
120	win		
121	lost		0.4
122	lost		
123	lost		
124	win		
125	win		
126	lost		
127	lost		
128	win		
129	lost		
130	win		
131	lost		0.4
132	lost		
133	win		
134	lost		
135	win		
136	lost		
137	win		
138	lost		
139	lost		
140	win		
141	lost		0.2
142	win		
143	lost		
144	lost		
145	lost		
146	lost		
147	win		
148	lost		
149	lost		
150	lost		
151	lost		0.2
152	lost		
153	win		
154	lost		
155	lost		
156	lost		
157	lost		
158	lost		
159	win		
160	lost		
161	lost		0
162	lost		
163	lost		
164	lost		
165	lost		
166	lost		
167	lost		
168	lost		
169	lost		
170	lost		
171	lost		0.3
172	lost		
173	lost		
174	lost		
175	lost		
176	win		
177	lost		
178	win		
179	lost		
180	win		
181	lost		0
182	lost		
183	lost		
184	lost		
185	lost		
186	lost		
187	lost		
188	lost		
189	lost		
190	lost		
191	win		0.4
192	lost		
193	win		
194	win		
195	lost		
196	lost		
197	lost		
198	lost		
199	lost	-112	
200	win	1459	
